Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
,,,,,
,,,,,
"421,233,434",316,316,"421,426",316,"425,421,235,424,423,203,422"
"421,445","434,421",421,"415,421","432,416","421,304,426,425,235,423"
"424,421,423,435,414,422",421,"416,433,421,434,112,305,426,421,423",421,421,"411,423,425,422,421"
"424,414,435,421,422,423","416,421","112,421,305,421,423,434,426,416,433",421,"411,421,425,412,423","421,433"
"421,434","412,411,425,421,423,424","421,424,412,422,435,423",421,"423,425,412,411,421","422,416"
"434,421","446,424,425",315,"421,446",431,
"421,422","424,425",315,432,,
422,,,432,,
,,,,,
,,,,,
